Date,Level,Discharge
1965-05-13,28.465,236.681
1965-05-20,27.959,146.701
1965-08-20,27.216,41.481
1965-10-14,27.578,83.24
1966-05-25,28.599,261.782
1966-07-27,27.011,21.718
1966-09-06,27.094,25.478
1966-11-02,27.216,39.005
1966-11-04,29.883,568.914
1966-11-04,29.334,418.551
1966-11-09,27.508,71.843
1966-11-16,27.398,59.351
1966-11-23,27.173,37.271
1966-11-30,28.109,164.139
1967-08-01,27.31,47.264
1968-04-25,30.949,799.275
1968-10-01,26.865,12.015
1969-06-09,27.487,70.349
1970-07-20,27.334,51.973
1971-06-19,26.972,18.717
1972-08-31,27.523,72.024
1973-04-26,28.197,172.151
1973-11-06,27.124,32.509
1974-05-07,27.935,130.083
1975-05-06,28.218,183.171
1976-05-04,28.733,278.835
1977-05-06,28.221,182.737
1978-05-12,28.599,247.583
1978-07-07,27.036,21.044
1979-05-16,27.693,95.083
1980-05-12,27.495,68.044
1981-05-13,28.405,220.948
1982-05-27,27.274,45.644
1983-05-20,27.625,87.23
1984-05-23,27.61,85.549
1985-05-22,28.42,223.285
1986-05-13,27.611,83.045
1987-05-19,27.188,35.067
1988-05-12,28.13,169.45
1989-05-24,27.572,79.717
1965-05-13,28.465,236.681
1965-05-20,27.959,146.701
1965-08-20,27.216,41.481
1965-10-14,27.578,83.24
1966-05-25,28.599,261.782
1966-07-27,27.011,21.718
1966-09-06,27.094,25.478
1966-11-02,27.216,39.005
1966-11-04,29.883,568.914
1966-11-04,29.334,418.551
1966-11-09,27.508,71.843
1966-11-16,27.398,59.351
1966-11-23,27.173,37.271
1966-11-30,28.109,164.139
1967-03-23,26.771,7.996
1967-08-01,27.31,47.264
1968-04-25,30.949,799.275
1968-04-25,31.276,917.891
1968-10-01,26.865,12.015
1969-06-09,27.487,70.349
1970-07-20,27.334,51.973
1971-06-19,26.972,18.717
1972-08-31,27.523,72.024
1973-04-26,28.197,172.151
1973-11-06,27.124,32.509
1974-05-07,27.935,130.083
1975-05-06,28.218,183.171
1976-05-04,28.733,278.835
1977-05-06,28.221,182.737
1978-05-12,28.599,247.583
1978-07-07,27.036,21.044
1979-05-16,27.693,95.083
1980-05-12,27.495,68.044
1981-05-13,28.405,220.948
1982-05-27,27.274,45.644
1983-05-20,27.625,87.23
1984-05-23,27.61,85.549
1985-05-22,28.42,223.285
1986-05-13,27.611,83.045
1987-05-19,27.188,35.067
1988-05-12,28.13,169.45
1989-05-24,27.572,79.717
1990-05-23,27.616,86.463
1991-05-31,27.342,50.928
1992-06-03,27.197,36.87
1993-03-02,26.799,8.247
1993-05-19,27.36,51.924
1994-05-18,28.359,208.127
1994-10-18,26.998,19.364
1995-05-10,27.734,106.243
1995-08-29,26.91,16.029
1995-08-29,26.909,13.324
1995-08-29,26.909,14.527
1996-05-22,28.434,233.211
1965-05-13,28.465,236.681
1965-05-20,27.959,146.701
1965-08-20,27.216,41.481
1965-10-14,27.578,83.24
1966-05-25,28.599,261.782
1966-07-27,27.011,21.718
1966-09-06,27.094,25.478
1966-11-02,27.216,39.005
1966-11-04,29.883,568.914
1966-11-04,29.334,418.551
1966-11-09,27.508,71.843
